gpu_name,g3d_mark,tdp,category
Mobility Radeon HD 5850,763,31,Mobile
Radeon HD 8730M,761,NA,Mobile
Radeon HD 7660G + HD 8500M Dual,758,NA,Mobile
Radeon HD 8650G + HD 8600M N HD 8600M Dual,758,NA,Mobile
Radeon HD 7660G + 7700M Dual,757,NA,Mobile
Radeon HD 7640G + 7450M Dual,754,NA,Mobile
Radeon HD 6650M,753,NA,Mobile
Radeon HD 7640G + 7650M Dual,747,NA,Mobile
Radeon HD 7660G + HD 8600/8700M Dual,747,NA,Mobile
Radeon HD 7660G + 7610M Dual,746,NA,Mobile
Radeon HD 7660G + 7670M Dual,743,NA,Mobile
Radeon HD 8650G + 7600M Dual,742,NA,Mobile
Radeon HD 7670M + 7670M Dual,738,NA,Mobile
Radeon HD 7550M/7650M,729,13,Mobile
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,723,NA,Mobile
GeForce 920M,722,NA,Mobile
Mobility Radeon HD 4870,720,NA,Mobile
Radeon HD 8650G + HD 8570M Dual,716,NA,Mobile
Radeon HD 7660G + HD 8670M Dual,711,NA,Mobile
Radeon HD 7660G + HD 7670M Dual,707,NA,Mobile
Radeon HD 7640G + 7600M Dual,706,NA,Mobile
Radeon HD 7660G N HD 7660G + HD 7670M Dual,705,NA,Mobile
Radeon HD 7640G + HD 7600M Dual,704,NA,Mobile
GeForce GT 640M LE,700,32,Mobile
Radeon HD 7570M/HD 7670M,699,25,Mobile
Radeon HD 7640G + 7700M Dual,691,NA,Mobile
Radeon HD 7640G + 8600/8700M Dual,689,NA,Mobile
Radeon HD 6630M,685,NA,Mobile
Radeon HD 7640G N HD 7640G + HD 7670M Dual,680,NA,Mobile
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,680,NA,Mobile
GeForce GTS 160M,679,60,Mobile
Radeon HD 7640G + HD 8670M Dual,677,NA,Mobile
Radeon HD 7640G + HD 8500M N HD 8500M Dual,666,NA,Mobile
Radeon HD 8550G + 8690M Dual,664,NA,Mobile
Radeon R7 M340,658,NA,Mobile
GeForce GT 555M,655,30,Mobile
Radeon HD 7640G + 8750M Dual,655,NA,Mobile
Radeon HD 8550G + HD 8600/8700M Dual,655,NA,Mobile
GeForce GTS 360M,654,38,Mobile
Radeon HD 8650G + 8570M Dual,654,NA,Mobile
Radeon HD 8650G + HD 8750M Dual,652,NA,Mobile
Radeon HD 7520G + HD 8750M Dual,651,NA,Mobile
Radeon HD 8610G + HD 8500M Dual,646,NA,Mobile
Radeon HD 7640G + 7670M Dual,645,NA,Mobile
GeForce GT 735M,639,NA,Mobile
Radeon HD 7640G + 7400M Dual,637,NA,Mobile
Radeon HD 8450G + 8750M Dual,637,NA,Mobile
GeForce GTX 285M,636,75,Mobile
Radeon HD 8650G + 8670M Dual,635,NA,Mobile
Radeon HD 8650G + HD 7670M Dual,634,NA,Mobile
Radeon HD 7610M,632,20,Mobile
Radeon HD 7640G + HD 7700M N HD 7700M Dual,631,NA,Mobile
Radeon HD 7660G + 7470M Dual,631,NA,Mobile
Radeon HD 8510G + HD 8500M Dual,630,NA,Mobile
Radeon HD 8650G + 8500M Dual,627,NA,Mobile
Radeon HD 7520G + HD 8600/8700M Dual,624,NA,Mobile
Radeon HD 7640G + HD 7400M Dual,621,NA,Mobile
Radeon HD 8550G + 8600M Dual,618,NA,Mobile
Radeon R6,618,15,Mobile
Radeon HD 7500G + 7500M/7600M Dual,617,NA,Mobile
Radeon HD 8650G + 8600M Dual,613,NA,Mobile
Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,612,NA,Mobile
Radeon HD 8610G + 8500M Dual,610,NA,Mobile
Radeon HD 7640G + HD 8500M Dual,607,NA,Mobile
Radeon HD 8650G + HD 8600M Dual,606,NA,Mobile
Radeon HD 8550G + 8500M Dual,603,NA,Mobile
GeForce 910M,601,NA,Mobile
Radeon HD 8610G + 8670M Dual,600,NA,Mobile
Radeon HD 8510G + 8500M Dual,596,NA,Mobile
Radeon R5 M330,596,18,Mobile
Radeon HD 7640G + 7470M Dual,595,NA,Mobile
Radeon HD 8550G + HD 8600M Dual,594,NA,Mobile
Radeon HD 7520G + 7600M Dual,591,NA,Mobile
Radeon HD 7640G + HD 7700M Dual,589,NA,Mobile
Radeon HD 8610G + 8600M Dual,589,NA,Mobile
Radeon HD 7520G + 7610M Dual,588,NA,Mobile
Radeon HD 7660G + 7400M Dual,588,NA,Mobile
Radeon HD 7660G + 8670M Dual,588,NA,Mobile
Radeon HD 7640G + HD 8600/8700M Dual,587,NA,Mobile
Radeon HD 7640G + 8500M Dual,586,NA,Mobile
Radeon HD 8650G + HD 8670M Dual,585,NA,Mobile
Radeon HD 8550G + 8670M Dual,579,NA,Mobile
Radeon HD 8610G + HD 8670M Dual,578,NA,Mobile
Radeon HD 7620G + 8670M Dual,577,NA,Mobile
GeForce GTX 280M,576,75,Mobile
Radeon HD 7520G + HD 7700M Dual,575,NA,Mobile
GeForce GT 550M,573,32,Mobile
Radeon R7 M360,570,NA,Mobile
GeForce GT 820M,568,NA,Mobile
Radeon HD 6610M,565,NA,Mobile
GeForce GT 635M,562,35,Mobile
Radeon HD 8550G + HD 8500M Dual,559,NA,Mobile
Radeon HD 7640G + 8570M Dual,558,NA,Mobile
Radeon HD 7640G + 8670M Dual,558,NA,Mobile
GeForce 9800M GS,555,60,Mobile
GeForce GTS 250M,554,28,Mobile
Radeon R5 M335,549,NA,Mobile
Mobility Radeon HD 3870,548,NA,Mobile
Radeon HD 8550G + HD 7600M Dual,548,NA,Mobile
Radeon HD 8550G + HD 8670M Dual,546,NA,Mobile
Radeon R7 M265,546,NA,Mobile
Radeon HD 7520G + HD 7400M Dual,545,NA,Mobile
Radeon HD 8450G + 8600M Dual,545,NA,Mobile
Radeon HD 7600G + HD 8670M Dual,544,NA,Mobile
Radeon HD 7520G + 7470M Dual,543,NA,Mobile
GeForce GT 630M,541,33,Mobile
GeForce GT 435M,536,35,Mobile
Radeon R5 M255,534,NA,Mobile
Radeon HD 8550G + 8570M Dual,533,NA,Mobile
Radeon HD 8550G + HD 8570M Dual,529,NA,Mobile
GeForce GT 425M,528,23,Mobile
Radeon HD 7640G + 6400M Dual,527,NA,Mobile
Radeon 6600M,524,NA,Mobile
Radeon HD 7520G + 7670M Dual,523,NA,Mobile
Radeon HD 7660G + HD 7600M Dual,523,NA,Mobile
Radeon HD 8670M,520,NA,Mobile
Radeon HD 7640G + HD 7670M Dual,519,NA,Mobile
Mobility Radeon HD 4830,512,NA,Mobile
Radeon HD 7640G + 7610M Dual,510,NA,Mobile
Radeon HD 7600G + HD 7550M Dual,509,NA,Mobile
Radeon HD 7620G + 8600M Dual,509,NA,Mobile
Radeon HD 7620G + HD 8670M Dual,507,NA,Mobile
GeForce GTS 150M,504,NA,Mobile
Radeon HD 8450G + HD 8750M Dual,504,NA,Mobile
Mobility Radeon HD 5730,501,26,Mobile
GeForce 820M,497,15,Mobile
Radeon HD 7500G + 7550M Dual,497,NA,Mobile
Radeon R7 M260,497,NA,Mobile
Radeon HD 7520G + HD 7670M Dual,495,NA,Mobile
Radeon HD8530M,490,NA,Mobile
Radeon HD 7520G + 7400M Dual,487,NA,Mobile
Radeon HD 8610G + HD 8600M Dual,481,NA,Mobile
GeForce GT 540M,479,32,Mobile
GeForce GT 625M,479,15,Mobile
Mobility Radeon HD 3870 X2,478,NA,Mobile
Radeon HD 8450G + HD 8670M Dual,478,NA,Mobile
Radeon HD 7600G + HD 7500M/7600M Dual,477,NA,Mobile
Radeon HD 7640G + HD 8570M Dual,475,NA,Mobile
Radeon HD 7670M,475,20,Mobile
Radeon HD 8450G + 8670M Dual,475,NA,Mobile
Radeon HD 7550M,465,13,Mobile
Mobility Radeon HD 4670,463,NA,Mobile
GeForce 8800M GTX,462,65,Mobile
GeForce GT 720M,461,NA,Mobile
GeForce 710M,460,12,Mobile
GeForce GT 525M,460,20,Mobile
Radeon HD 7660G + HD 7600M N HD 7600M Dual,460,NA,Mobile
GeForce 800M,457,NA,Mobile
GeForce GT625M,457,NA,Mobile
