CPU Name,Cores,CPU Mark,Thread Mark,"TDP									","Socket										",Category
AMD Ryzen Embedded R1505G,2,"3,853","1,836",15,FP5,"Laptop, Mobile/Embedded"
AMD Ryzen 3 3250U,2,"3,845","1,785",15,FP5,Laptop
Snapdragon 7c Gen 2 @ 2.55 GHz,8,"3,844","1,482",7,Unknown,"Laptop, Mobile/Embedded"
Intel Core i7-2840QM @ 2.40GHz,4,"3,842","1,493",NA,rPGA988B,Laptop
Intel Core i7-2675QM @ 2.20GHz,4,"3,828","1,288",45,BGA1224,Laptop
Intel Core i5-6287U @ 3.10GHz,2,"3,823","1,996",28,FCBGA1356,Laptop
AMD Ryzen 3 3200U,2,"3,802","1,807",15,FP5,Laptop
Intel Core i3-8145U @ 2.10GHz,2,"3,786","2,097",15,FCBGA1528,Laptop
Intel Core i7-7560U @ 2.40GHz,2,"3,780","1,980",15,BGA1356,Laptop
Intel Core i5-7287U @ 3.30GHz,2,"3,743","2,157",28,Unknown,Laptop
Intel Core i7-2670QM @ 2.20GHz,4,"3,732","1,310",45,PGA988B,Laptop
Intel Core i7-7600U @ 2.80GHz,2,"3,719","2,030",15,FCBGA1356,Laptop
Snapdragon 7c @ 1.96 GHz,8,"3,712","1,519",NA,Unknown,"Laptop, Mobile/Embedded"
Intel Core i7-6567U @ 3.30GHz,2,"3,700","2,077",28,FCBGA1356,Laptop
AMD Ryzen 3 2200U,2,"3,691","1,675",15,FP5,Laptop
Intel Core i5-7300U @ 2.60GHz,2,"3,657","1,904",15,FCBGA1356,Laptop
Intel Core i7-7500U @ 2.70GHz,2,"3,644","1,923",15,FCBGA1356,Laptop
Intel Core i5-7267U @ 3.10GHz,2,"3,643","1,977",28,BGA1356,Laptop
Intel Core i7-6650U @ 2.20GHz,2,"3,601","1,812",15,FCBGA1356,Laptop
Intel Core i3-1000NG4 @ 1.10GHz,2,"3,583","1,771",9,BGA1526,Laptop
Intel Core i7-6660U @ 2.40GHz,2,"3,577","1,925",15,FCBGA1356,Laptop
Intel Core i3-8130U @ 2.20GHz,2,"3,551","1,886",15,FCBGA1356,Laptop
Intel Core i7-2630QM @ 2.00GHz,4,"3,548","1,225",45,PGA988B,Laptop
AMD A8-7680,4,"3,537","1,618",45,FM2+,Laptop
AMD Ryzen Embedded V1202B,2,"3,532","1,600",15,FP5,"Laptop, Mobile/Embedded"
Intel Core i7-6498DU @ 2.50GHz,2,"3,454","1,808",15,BGA1356,Laptop
Intel Core i7-6600U @ 2.60GHz,2,"3,439","1,798",15,FCBGA1356,Laptop
Intel Core i3-7100H @ 3.00GHz,2,"3,430","1,668",35,FCBGA1440,Laptop
Intel Core i5-L16G7 @ 1.40GHz,5,"3,428","1,635",7,FC-CSP1016,Laptop
AMD Embedded R-Series RX-418GD Radeon R6,4,"3,426","1,467",35,FP4,"Laptop, Mobile/Embedded"
Intel Pentium Silver N5020 @ 1.10GHz,4,"3,404","1,307",6,FCBGA1090,Laptop
Snapdragon 7c @ 2.40 GHz,8,"3,395","1,225",9,Unknown,"Laptop, Mobile/Embedded"
Intel Core i5-6267U @ 2.90GHz,2,"3,389","1,845",28,FCBGA1356,Laptop
Intel Core i5-7200U @ 2.50GHz,2,"3,387","1,751",15,FCBGA1356,Laptop
Intel Core i5-4340M @ 2.90GHz,2,"3,376","2,036",37,Unknown,Laptop
Intel Core i7-2635QM @ 2.00GHz,4,"3,371","1,199",45,BGA1224,Laptop
Intel Core i3-7167U @ 2.80GHz,2,"3,368","1,705",28,Unknown,Laptop
Intel Core i7-6560U @ 2.20GHz,2,"3,356","1,696",15,Unknown,Laptop
